time,value
2026-09-12T00:56:01.791Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:01.792Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:02.798Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:02.799Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:03.809Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:03.81Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:04.815Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:04.816Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:05.817Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:05.823Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:06.825Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:07.833Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:07.834Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:08.847Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:08.848Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:09.85Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:09.851Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:10.851Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:10.853Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:11.859Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:11.86Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:12.86Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:12.861Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:13.871Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:13.874Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:14.877Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:14.878Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:15.885Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:16.886Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:16.887Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:17.895Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:18.903Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:19.919Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:19.92Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:20.944Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:20.945Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:21.937Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:21.939Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:22.945Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:22.946Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:23.954Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:23.955Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:24.963Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:24.964Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:25.971Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:25.972Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:26.98Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:27.98Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:27.981Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:28.988Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:28.989Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:29.999Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:30Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:30.998Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:32.005Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:33.013Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:33.014Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:34.018Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:34.019Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:35.027Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:35.028Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:36.035Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:36.036Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:37.039Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:37.041Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:38.052Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:38.054Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:39.065Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:40.081Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:40.082Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:41.083Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:42.086Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
