timestamp,lux,in_range
2026-07-28T17:19:59.655,5.0,1
2026-07-28T17:20:09.655,5.0,1
2026-07-28T17:20:19.655,4.17,1
2026-07-28T17:20:29.656,4.17,1
2026-07-28T17:20:39.656,4.17,1
2026-07-28T17:20:49.656,4.17,1
2026-07-28T17:20:59.657,4.17,1
2026-07-28T17:21:09.658,4.17,1
2026-07-28T17:21:19.658,4.17,1
2026-07-28T17:21:29.659,3.33,1
2026-07-28T17:21:39.659,3.33,1
2026-07-28T17:21:49.660,3.33,1
2026-07-28T17:21:59.660,3.33,1
2026-07-28T17:22:09.661,3.33,1
2026-07-28T17:22:19.661,3.33,1
2026-07-28T17:22:29.661,3.33,1
2026-07-28T17:22:39.662,3.33,1
2026-07-28T17:22:49.662,3.33,1
2026-07-28T17:22:59.663,3.33,1
2026-07-28T17:23:09.663,3.33,1
2026-07-28T17:23:19.664,4.17,1
2026-07-28T17:23:29.664,4.17,1
2026-07-28T17:23:39.665,4.17,1
2026-07-28T17:23:49.666,4.17,1
2026-07-28T17:23:59.666,4.17,1
2026-07-28T17:24:09.667,4.17,1
2026-07-28T17:24:19.667,4.17,1
2026-07-28T17:24:29.668,4.17,1
2026-07-28T17:24:39.669,4.17,1
2026-07-28T17:24:49.669,4.17,1
2026-07-28T17:24:59.670,4.17,1
2026-07-28T17:25:09.671,3.33,1
2026-07-28T17:25:19.672,3.33,1
2026-07-28T17:25:29.672,3.33,1
2026-07-28T17:25:39.673,3.33,1
2026-07-28T17:25:49.674,3.33,1
2026-07-28T17:25:59.674,2.5,1
2026-07-28T17:26:09.675,2.5,1
2026-07-28T17:26:19.676,2.5,1
2026-07-28T17:26:29.676,2.5,1
2026-07-28T17:26:39.677,2.5,1
2026-07-28T17:26:49.678,2.5,1
2026-07-28T17:26:59.678,2.5,1
2026-07-28T17:27:09.679,2.5,1
2026-07-28T17:27:19.680,2.5,1
2026-07-28T17:27:29.680,2.5,1
2026-07-28T17:27:39.681,2.5,1
2026-07-28T17:27:49.681,2.5,1
2026-07-28T17:27:59.682,2.5,1
2026-07-28T17:28:09.682,2.5,1
2026-07-28T17:28:19.683,2.5,1
2026-07-28T17:28:29.684,2.5,1
2026-07-28T17:28:39.685,1.67,1
2026-07-28T17:28:49.685,2.5,1
2026-07-28T17:28:59.686,1.67,1
2026-07-28T17:29:09.686,1.67,1
2026-07-28T17:29:19.687,1.67,1
2026-07-28T17:29:29.688,1.67,1
2026-07-28T17:29:39.688,1.67,1
2026-07-28T17:29:49.689,1.67,1
2026-07-28T17:29:59.689,1.67,1
2026-07-28T17:30:09.690,1.67,1
2026-07-28T17:30:19.691,1.67,1
2026-07-28T17:30:29.691,1.67,1
2026-07-28T17:30:39.692,1.67,1
2026-07-28T17:30:49.693,1.67,1
2026-07-28T17:30:59.693,1.67,1
2026-07-28T17:31:09.694,1.67,1
2026-07-28T17:31:19.695,1.67,1
2026-07-28T17:31:29.696,1.67,1
2026-07-28T17:31:39.696,1.67,1
2026-07-28T17:31:49.697,1.67,1
2026-07-28T17:31:59.698,1.67,1
2026-07-28T17:32:09.698,1.67,1
2026-07-28T17:32:19.699,1.67,1
2026-07-28T17:32:29.699,1.67,1
2026-07-28T17:32:39.700,1.67,1
2026-07-28T17:32:49.700,1.67,1
2026-07-28T17:32:59.701,1.67,1
2026-07-28T17:33:09.702,1.67,1
2026-07-28T17:33:19.702,1.67,1
2026-07-28T17:33:29.703,1.67,1
2026-07-28T17:33:39.704,1.67,1
2026-07-28T17:33:49.704,1.67,1
2026-07-28T17:33:59.705,1.67,1
2026-07-28T17:34:09.706,1.67,1
2026-07-28T17:34:19.706,0.83,0
2026-07-28T17:34:29.706,0.83,0
2026-07-28T17:34:39.707,0.83,0
2026-07-28T17:34:49.708,0.83,0
2026-07-28T17:34:59.708,0.83,0
2026-07-28T17:35:09.709,0.83,0
2026-07-28T17:35:19.710,0.83,0
2026-07-28T17:35:29.710,0.83,0
2026-07-28T17:35:39.711,0.83,0
2026-07-28T17:35:49.712,0.83,0
2026-07-28T17:35:59.712,0.83,0
2026-07-28T17:36:09.713,0.83,0
2026-07-28T17:36:19.713,0.83,0
2026-07-28T17:36:29.714,0.83,0
2026-07-28T17:36:39.715,0.0,0
2026-07-28T17:36:49.715,0.0,0
