timestamp,lux,occupied
2026-09-23T13:40:16,1090.83,1
2026-09-23T13:42:16,1103.33,1
2026-09-23T13:44:16,1146.67,1
2026-09-23T13:46:16,1185.83,1
2026-09-23T13:48:16,1194.17,1
2026-09-23T13:50:16,1226.67,1
2026-09-23T13:52:16,1264.17,1
2026-09-23T13:54:16,1282.5,1
2026-09-23T13:56:16,1253.33,1
2026-09-23T13:58:16,1194.17,1
2026-09-23T14:00:16,1122.5,1
2026-09-23T14:02:16,1050.83,1
2026-09-23T14:04:16,1013.33,1
2026-09-23T14:06:16,1000.83,1
2026-09-23T14:08:16,979.17,1
2026-09-23T14:10:16,951.67,1
2026-09-23T14:12:16,929.17,1
2026-09-23T14:14:16,907.5,1
2026-09-23T14:16:16,889.17,1
2026-09-23T14:18:16,875.0,1
2026-09-23T14:20:16,865.83,1
2026-09-23T14:22:16,862.5,1
2026-09-23T14:24:16,863.33,1
2026-09-23T14:26:16,860.83,1
2026-09-23T14:28:16,853.33,1
2026-09-23T14:30:16,845.0,1
2026-09-23T14:32:16,836.67,1
2026-09-23T14:34:16,823.33,1
2026-09-23T14:36:16,812.5,1
2026-09-23T14:38:16,810.0,1
2026-09-23T14:40:16,802.5,1
2026-09-23T14:42:16,788.33,1
2026-09-23T14:44:16,773.33,1
2026-09-23T14:46:16,760.0,1
2026-09-23T14:48:16,747.5,1
2026-09-23T14:50:16,737.5,1
2026-09-23T14:52:16,726.67,1
2026-09-23T14:54:16,715.83,1
2026-09-23T14:56:16,701.67,1
2026-09-23T14:58:16,689.17,1
2026-09-23T15:00:16,675.0,1
2026-09-23T15:02:16,664.17,1
2026-09-23T15:04:16,656.67,1
2026-09-23T15:06:16,649.17,1
2026-09-23T15:08:16,643.33,1
2026-09-23T15:10:16,636.67,1
2026-09-23T15:12:16,628.33,1
2026-09-23T15:14:16,620.83,1
2026-09-23T15:16:16,614.17,1
2026-09-23T15:18:16,611.67,1
2026-09-23T15:20:16,606.67,1
2026-09-23T15:22:16,599.17,1
2026-09-23T15:24:16,592.5,1
2026-09-23T15:26:16,586.67,1
2026-09-23T15:28:16,579.17,1
2026-09-23T15:30:16,575.0,1
2026-09-23T15:32:16,573.33,1
2026-09-23T15:34:16,573.33,1
2026-09-23T15:36:16,570.83,1
2026-09-23T15:38:16,563.33,1
2026-09-23T15:40:16,557.5,1
2026-09-23T15:42:16,553.33,1
2026-09-23T15:44:16,549.17,1
2026-09-23T15:46:16,541.67,1
2026-09-23T15:48:16,540.83,1
2026-09-23T15:50:16,544.17,1
2026-09-23T15:52:16,541.67,1
2026-09-23T15:54:16,568.33,1
2026-09-23T15:56:16,568.33,1
2026-09-23T15:58:16,572.5,1
2026-09-23T16:00:16,572.5,1
2026-09-23T16:02:16,572.5,1
2026-09-23T16:04:16,567.5,1
2026-09-23T16:06:16,552.5,1
2026-09-23T16:08:16,543.33,1
2026-09-23T16:10:16,548.33,1
2026-09-23T16:12:16,555.0,1
2026-09-23T16:14:16,560.83,1
2026-09-23T16:16:16,555.0,1
2026-09-23T16:18:16,530.0,1
2026-09-23T16:20:16,526.67,1
2026-09-23T16:22:16,525.83,1
2026-09-23T16:24:16,525.83,1
2026-09-23T16:26:16,525.83,1
2026-09-23T16:28:16,527.5,1
2026-09-23T16:30:16,533.33,1
2026-09-23T16:32:16,549.17,1
